season,player,actual_pos,pred_pos,pred,act
2023,Gabriel Dos Santos,Centre-Back,Centre-Back,CB,CB
2023,Bukayo Saka,Right Winger,Left Winger,LW,RW
2023,Ben White,Right-Back,Right-Back,RB,RB
2023,Granit Xhaka,Defensive Midfield,Attacking Midfield,AM,DM
2023,Martin Ødegaard,Attacking Midfield,Attacking Midfield,AM,AM
2023,Gabriel Martinelli,Left Winger,Left Winger,LW,LW
2023,Thomas Partey,Defensive Midfield,Defensive Midfield,DM,DM
2023,Eddie Nketiah,Centre-Forward,Centre-Forward,CF,CF
2023,William Saliba,Centre-Back,Centre-Back,CB,CB
2023,Kieran Tierney,Left-Back,Central Midfield,CM,LB
2023,Emi Buendía,Right Winger,Attacking Midfield,AM,RW
2023,Ezri Konsa,Centre-Back,Centre-Back,CB,CB
2023,Douglas Luiz,Central Midfield,Central Midfield,CM,CM
2023,Ollie Watkins,Centre-Forward,Centre-Forward,CF,CF
2023,Tyrone Mings,Centre-Back,Centre-Back,CB,CB
2023,Jacob Ramsey,Central Midfield,Right Winger,RW,CM
2023,John McGinn,Central Midfield,Central Midfield,CM,CM
2023,Leon Bailey,Left Winger,Left Winger,LW,LW
2023,Ashley Young,Left-Back,Defensive Midfield,DM,LB
2023,Lucas Digne,Left-Back,Right-Back,RB,LB
2023,Jefferson Lerma,Defensive Midfield,Defensive Midfield,DM,DM
2023,Adam Smith,Right-Back,Right-Back,RB,RB
2023,Philip Billing,Central Midfield,Central Midfield,CM,CM
2023,Dominic Solanke,Centre-Forward,Centre-Forward,CF,CF
2023,Ryan Christie,Attacking Midfield,Central Midfield,CM,AM
2023,Marcos Senesi,Centre-Back,Centre-Back,CB,CB
2023,Jaidon Anthony,Left Winger,Left Winger,LW,LW
2023,Lewis Cook,Central Midfield,Central Midfield,CM,CM
2023,Kieffer Moore,Centre-Forward,Centre-Forward,CF,CF
2023,Chris Mepham,Centre-Back,Centre-Back,CB,CB
2023,Bryan Mbeumo,Right Winger,Right Winger,RW,RW
2023,Yoane Wissa,Left Winger,Centre-Forward,CF,LW
2023,Rico Henry,Left-Back,Right-Back,RB,LB
2023,Mathias Jensen,Central Midfield,Central Midfield,CM,CM
2023,Ben Mee,Centre-Back,Centre-Back,CB,CB
2023,Josh Dasilva,Central Midfield,Right Winger,RW,CM
2023,Vitaly Janelt,Defensive Midfield,Defensive Midfield,DM,DM
2023,Ivan Toney,Centre-Forward,Centre-Forward,CF,CF
2023,Ethan Pinnock,Centre-Back,Centre-Back,CB,CB
2023,Mikkel Damsgaard,Left Winger,Centre-Forward,CF,LW
2023,Moisés Caicedo,Defensive Midfield,Central Midfield,CM,DM
2023,Pascal Groß,Central Midfield,Attacking Midfield,AM,CM
2023,Lewis Dunk,Centre-Back,Centre-Back,CB,CB
2023,Pervis Estupiñán,Left-Back,Left-Back,LB,LB
2023,Alexis Mac Allister,Central Midfield,Central Midfield,CM,CM
2023,Solly March,Right Winger,Right Winger,RW,RW
2023,Kaoru Mitoma,Left Winger,Left Winger,LW,LW
2023,Joël Veltman,Right-Back,Central Midfield,CM,RB
2023,Danny Welbeck,Centre-Forward,Centre-Forward,CF,CF
2023,Adam Webster,Centre-Back,Centre-Back,CB,CB
2023,Conor Gallagher,Central Midfield,Central Midfield,CM,CM
2023,Kai Havertz,Attacking Midfield,Centre-Forward,CF,AM
2023,Raheem Sterling,Left Winger,Left Winger,LW,LW
2023,Mateo Kovačić,Central Midfield,Central Midfield,CM,CM
2023,Thiago Silva,Centre-Back,Centre-Back,CB,CB
2023,César Azpilicueta,Right-Back,Right-Back,RB,RB
2023,Trevoh Chalobah,Centre-Back,Centre-Back,CB,CB
2023,Ruben Loftus-Cheek,Central Midfield,Central Midfield,CM,CM
2023,Marc Cucurella,Left-Back,Right-Back,RB,LB
2023,Mason Mount,Attacking Midfield,Central Midfield,CM,AM
2023,Jordan Ayew,Centre-Forward,Centre-Forward,CF,CF
2023,Eberechi Eze,Attacking Midfield,Attacking Midfield,AM,AM
2023,Marc Guéhi,Centre-Back,Centre-Back,CB,CB
2023,Michael Olise,Right Winger,Right Winger,RW,RW
2023,Tyrick Mitchell,Left-Back,Right-Back,RB,LB
2023,Odsonne Édouard,Centre-Forward,Centre-Forward,CF,CF
2023,Cheick Doucouré,Defensive Midfield,Defensive Midfield,DM,DM
2023,Jeffrey Schlupp,Left Midfield,Central Midfield,CM,LM
2023,Joachim Andersen,Centre-Back,Centre-Back,CB,CB
2023,Jean-Philippe Mateta,Centre-Forward,Centre-Forward,CF,CF
2023,Alex Iwobi,Attacking Midfield,Right Winger,RW,AM
2023,James Tarkowski,Centre-Back,Centre-Back,CB,CB
2023,Dwight McNeil,Left Winger,Right Winger,RW,LW
2023,Vitaliy Mykolenko,Left-Back,Right-Back,RB,LB
2023,Idrissa Gana Gueye,Central Midfield,Defensive Midfield,DM,CM
2023,Demarai Gray,Left Winger,Left Winger,LW,LW
2023,Amadou Onana,Defensive Midfield,Central Midfield,CM,DM
2023,Neal Maupay,Centre-Forward,Centre-Forward,CF,CF
2023,Abdoulaye Doucouré,Central Midfield,Centre-Forward,CF,CM
2023,Conor Coady,Centre-Back,Centre-Back,CB,CB
2023,Harrison Reed,Central Midfield,Central Midfield,CM,CM
2023,Bobby Reid,Attacking Midfield,Attacking Midfield,AM,AM
2023,João Palhinha,Defensive Midfield,Centre-Back,CB,DM
2023,Antonee Robinson,Left-Back,Right-Back,RB,LB
2023,Tom Cairney,Central Midfield,Central Midfield,CM,CM
2023,Andreas Pereira,Attacking Midfield,Attacking Midfield,AM,AM
2023,Tim Ream,Centre-Back,Centre-Back,CB,CB
2023,Kenny Tete,Right-Back,Right-Back,RB,RB
2023,Harry Wilson,Right Winger,Centre-Forward,CF,RW
2023,Carlos Vinícius,Centre-Forward,Centre-Forward,CF,CF
2023,Brenden Aaronson,Attacking Midfield,Right Winger,RW,AM
2023,Jack Harrison,Right Winger,Right Winger,RW,RW
2023,Robin Koch,Centre-Back,Centre-Back,CB,CB
2023,Marc Roca,Defensive Midfield,Central Midfield,CM,DM
2023,Rodrigo,Centre-Forward,Centre-Forward,CF,CF
2023,Luke Ayling,Right-Back,Right-Back,RB,RB
2023,Pascal Struijk,Centre-Back,Central Midfield,CM,CB
2023,Patrick Bamford,Centre-Forward,Centre-Forward,CF,CF
2023,Crysencio Summerville,Right Winger,Left Winger,LW,RW
2023,Rasmus Nissen,Right-Back,Right-Back,RB,RB
2023,Timothy Castagne,Right-Back,Right-Back,RB,RB
2023,Jamie Vardy,Centre-Forward,Centre-Forward,CF,CF
2023,Harvey Barnes,Left Winger,Centre-Forward,CF,LW
2023,Kiernan Dewsbury-Hall,Central Midfield,Central Midfield,CM,CM
2023,Wout Faes,Centre-Back,Centre-Back,CB,CB
2023,Youri Tielemans,Central Midfield,Central Midfield,CM,CM
2023,Patson Daka,Centre-Forward,Centre-Forward,CF,CF
2023,James Maddison,Attacking Midfield,Attacking Midfield,AM,AM
2023,Kelechi Iheanacho,Centre-Forward,Centre-Forward,CF,CF
2023,Wilfred Ndidi,Defensive Midfield,Defensive Midfield,DM,DM
2023,Mohamed Salah,Right Winger,Right Winger,RW,RW
2023,Trent Alexander-Arnold,Right-Back,Central Midfield,CM,RB
2023,Fabinho,Defensive Midfield,Defensive Midfield,DM,DM
2023,Jordan Henderson,Central Midfield,Central Midfield,CM,CM
2023,Andrew Robertson,Left-Back,Left-Back,LB,LB
2023,Harvey Elliott,Attacking Midfield,Central Midfield,CM,AM
2023,Virgil van Dijk,Centre-Back,Centre-Back,CB,CB
2023,James Milner,Central Midfield,Central Midfield,CM,CM
2023,Darwin Núñez,Centre-Forward,Centre-Forward,CF,CF
2023,Roberto Firmino,Centre-Forward,Centre-Forward,CF,CF
2023,Rodri,Defensive Midfield,Defensive Midfield,DM,DM
2023,Erling Haaland,Centre-Forward,Centre-Forward,CF,CF
2023,Bernardo Silva,Attacking Midfield,Attacking Midfield,AM,AM
2023,Kevin De Bruyne,Attacking Midfield,Attacking Midfield,AM,AM
2023,Phil Foden,Right Winger,Right Winger,RW,RW
2023,Julián Álvarez,Second Striker,Centre-Forward,CF,SS
2023,İlkay Gündoğan,Central Midfield,Central Midfield,CM,CM
2023,Riyad Mahrez,Right Winger,Right Winger,RW,RW
2023,Manuel Akanji,Centre-Back,Centre-Back,CB,CB
2023,Jack Grealish,Left Winger,Left Winger,LW,LW
2023,Bruno Fernandes,Attacking Midfield,Attacking Midfield,AM,AM
2023,Fred,Central Midfield,Central Midfield,CM,CM
2023,Marcus Rashford,Left Winger,Centre-Forward,CF,LW
2023,Luke Shaw,Left-Back,Left-Back,LB,LB
2023,Casemiro,Defensive Midfield,Central Midfield,CM,DM
2023,Christian Eriksen,Central Midfield,Central Midfield,CM,CM
2023,Lisandro Martínez,Centre-Back,Centre-Back,CB,CB
2023,Diogo Dalot,Right-Back,Right-Back,RB,RB
2023,Jadon Sancho,Left Winger,Left Winger,LW,LW
2023,Antony,Right Winger,Left Winger,LW,RW
